"EXERCISE","SHEET","GROUPID","TEAMID","ASSIGNMENT","PHYSICAL_FILENAME","DELETE_TIMESTAMP"
"GdP23","02","11","14","4","20231109115521-Zahlen.fs","20231109120632"
"GdP23","02","02","1","4","20231109120619-Zahlen.fs","20231109120747"
"GdP23","02","11","14","4","20231109120659-Zahlen.fs","20231109121222"
"GdP23","02","11","14","4","20231109121226-Zahlen.fs","20231109121310"
"GdP23","02","11","14","4","20231109121314-Zahlen.fs","20231109121842"
"GdP23","02","11","14","4","20231109121846-Zahlen.fs","20231109141942"
"GdP23","02","04","6","4","20231109131232-htmltest.html","20231109131239"
"GdP23","02","04","6","4","20231109131256-Zahlen.fs","20240301153138"
"GdP23","02","11","14","4","20231109141946-Zahlen.fs","20231110135925"
"GdP23","02","08","6","4","20231109143602-Zahlen.fs","20231109143655"
"GdP23","02","08","6","2","20231109144052-GdP_02_2.pdf","20231110084718"
"GdP23","02","08","6","3","20231109144055-GdP_02_3.pdf","20231110084720"
"GdP23","02","08","6","4","20231109144207-Zahlen.fs","20231109144402"
"GdP23","02","08","6","4","20231109144407-Zahlen.fs","20231109144628"
"GdP23","02","06","3","4","20231109151816-Zahlen.fs","20231109152052"
"GdP23","02","06","3","4","20231109151938-Zahlen.fsproj","20231109163631"
"GdP23","02","06","3","4","20231109152052-Zahlen.fs","20231109163508"
"GdP23","02","05","19","4","20231109153320-Zahlen.fs","20231109153344"
"GdP23","02","02","15","3","20231109155455-IMG_3841.png","20231109155730"
"GdP23","02","06","15","4","20231109162311-Zahlen.fs","20231110143208"
"GdP23","02","06","3","4","20231109163508-Zahlen.fs","20231109163629"
"GdP23","02","05","19","4","20231109164859-Zahlen.fs","20231109170053"
"GdP23","02","05","19","4","20231109170100-Zahlen.fs","20231112231201"
"GdP23","02","08","3","4","20231109175351-Zahlen.fs","20231112203129"
"GdP23","02","01","12","4","20231109180342-Zahlen.fs","20231109180735"
"GdP23","02","05","13","4","20231109190614-Zahlen.fs","20231109190840"
"GdP23","02","05","13","4","20231109190846-Zahlen.fs","20231109192153"
"GdP23","02","05","13","4","20231109192158-Zahlen.fs","20231109192351"
"GdP23","02","05","13","4","20231109192351-Zahlen.fs","20231109192441"
